ليقرب من الفهم والمعنى~87#3165#37#99
ليقرب منه ويبلغ مرضاته~87#3602#31#89
ليقسموها عليهم وموكلون بجنبات~83#2842#122#71
ليقصدني عليها السائلون يا~86#3053#113#199
ليقصم به الجبابرة والكفرة~82#2551#261#186
ليقضى الله أمرا كان~9#143#117#37
ليقضي الله أمرا كان~82#2180#123#267,87#3635#53#122
ليقطع ثوبا بين يديه~83#2833#171#62
ليقطع طرفا من الذين~87#3438#329#372
ليقطع عن النفس فرحها~83#2823#109#52
ليقطعك عن خير أنت~25#246#60#21
ليقطعه بذلك عن واجب~87#3282#36#216
ليقطعه بذلك عن وقوف~87#3685#294#172
ليقطعها فاستقبله إبليس في~87#3785#228#272
ليقطعها وقال إن فاتني~87#3786#115#273
ليقع لك كشف فقالت~41#1334#133#424
ليقع من الله بمكان~87#3709#272#196
ليقعد عن منازعة الأقسام~91#4614#45#46
ليقعد في الخلوة على~87#3243#32#177
ليقف المشتري والصانع على~87#3958#397#445
ليقفوا على اصل المذهب~60#1645#141#443
ليقل أطعمك الله طيبا~87#3816#214#303
ليقل سبحان الله العظيم~87#3082#42#16,87#3143#133#77
ليقل كلامه وقيل إن~90#4242#75#248
ليقل وهو ثان رجله~87#3082#70#16
ليقم القائمون فإذا مضى~87#3136#135#70
ليقم الله فيفترق أعداؤه~72#1841#163#159
ليقم المتهجدون فإذا مضى~87#3136#145#70
ليقم المصلون فإذا طلع~87#3136#155#70
ليقم الورد الرابع وهو~87#3140#203#74
ليقم فيأخذ ثوابه من~87#3119#171#53
ليقولن الله قل الحمد~30#371#139#31
ليقوله تعالى * إليه~82#2208#64#295
ليقوم بأمره الذي يوصله~25#317#7#92
ليقوم حتى تزلع رجلاه~87#3793#181#280
ليقوم فقال له سلمان~87#3108#213#42
ليقوم فقال له نم~87#3108#221#42
ليقوم له بحسن الخدمة~82#2378#107#13
ليقوم من وراء مقامكمخاطبةيا~86#3006#50#152
ليقيم على العبد حجة~91#4582#74#14
ليقينه بأن الله يراه~84#2849#245#2
ليقينه بأن ما قضى~84#2849#307#2
ليقينه بوصول مصلحة الخلق~84#2849#224#2
ليقينهم وتكرمة وتشريفا لهم~87#3723#472#210
ليكتمون الحق وهم يعلمون~61#1690#49#162,3#90#83#215
ليكثر أعمال العبد بعد~37#433#22#41
ليكثر اعتباره ويزيد في~3#110#55#235
ليكرم ويعظم لجميل قوله~37#428#65#36
ليكشف بها ما وراءها~6#118#31#5
ليكشف عن سابق علمه~82#2180#146#267
ليكشف له دعواه فيعلم~87#3565#164#52
ليكف عن المسألة فلا~87#3837#222#324
ليكفرها وقال بعض السلف~87#3925#60#412
ليكفك منها الجشب والخشن~87#3492#263#426
ليكفها عن المسألة ويغنيها~87#3944#172#431
ليكلمني منك من كلمته~85#2961#50#107
ليكمل صبره كما قال~87#3636#169#123
ليكمل والشكر يحتاج إلى~87#3421#288#355
ليكن تدبرك في الخلق~41#1271#77#360
ليكن ركوبكم على الدواب~82#2596#134#231
ليكن لك قلب ساكن~41#1132#124#221
ليكن للعبد في كل~87#3143#27#77
ليكن نظرك إلى الدنيا~41#1210#91#299
ليكن همك معك لا~41#1172#11#261
ليكون أرفع لهم في~1#16#78#97
ليكون ألطف في اللفظ~91#4573#26#5
ليكون أوجع في عقابه~87#3194#282#128
ليكون إذا كان ذلك~82#2151#242#238
ليكون ابتداؤه من ليلة~87#3188#68#122
ليكون العبد بين حالين~87#3200#127#134
ليكون العبد طالبا إلى~87#3187#35#121
ليكون العبد على وجلسمعت~82#1987#54#74
ليكون القلب فارغا لربه~87#3870#206#357
ليكون الكون كله لك~82#1966#185#53
ليكون الناس على خوف~87#3762#207#249,87#3763#346#250
